cohort_month,activity_month,months_since_issuance,cards_issued_in_cohort,cohort_issued_amount,redeemed_amount_this_month,cumulative_redeemed_amount,remaining_balance,is_expired,breakage_amount
2022-01-01 00:00:00,2022-01-01 00:00:00,0,108,9745.960000000001,1175.58,1175.58,8570.38,false,0.0
2022-01-01 00:00:00,2022-02-01 00:00:00,1,108,9745.960000000001,1411.94,2562.5,7183.46,false,0.0
2022-01-01 00:00:00,2022-03-01 00:00:00,2,108,9745.960000000001,735.56,3295.72,6450.24,false,0.0
2022-01-01 00:00:00,2022-04-01 00:00:00,3,108,9745.960000000001,423.65,3714.7599999999998,6031.200000000001,false,0.0
2022-01-01 00:00:00,2022-05-01 00:00:00,4,108,9745.960000000001,770.2799999999999,4485.040000000001,5260.92,false,0.0
2022-01-01 00:00:00,2022-06-01 00:00:00,5,108,9745.960000000001,648.33,5133.369999999999,4612.59,false,0.0
2022-01-01 00:00:00,2022-07-01 00:00:00,6,108,9745.960000000001,804.8299999999999,5938.2,3807.76,false,0.0
2022-01-01 00:00:00,2022-08-01 00:00:00,7,108,9745.960000000001,334.95,6273.15,3472.8099999999995,false,0.0
2022-01-01 00:00:00,2022-09-01 00:00:00,8,108,9745.960000000001,298.8,6571.95,3174.0099999999998,false,0.0
2022-01-01 00:00:00,2022-10-01 00:00:00,9,108,9745.960000000001,328.56000000000006,6900.51,2845.45,false,0.0
2022-01-01 00:00:00,2022-11-01 00:00:00,10,108,9745.960000000001,289.75,7190.26,2555.7000000000003,false,0.0
2022-01-01 00:00:00,2022-12-01 00:00:00,11,108,9745.960000000001,90.64999999999999,7280.91,2465.05,false,0.0
2022-01-01 00:00:00,2023-01-01 00:00:00,12,108,9745.960000000001,138.62,7419.529999999999,2326.4300000000003,false,0.0
2022-01-01 00:00:00,2023-02-01 00:00:00,13,108,9745.960000000001,303.15,7722.6799999999985,2023.2799999999997,false,0.0
2022-01-01 00:00:00,2023-03-01 00:00:00,14,108,9745.960000000001,0.0,7722.6799999999985,2023.2799999999997,false,0.0
2022-01-01 00:00:00,2023-04-01 00:00:00,15,108,9745.960000000001,31.5,7754.1799999999985,1991.78,false,0.0
2022-01-01 00:00:00,2023-05-01 00:00:00,16,108,9745.960000000001,88.44,7842.619999999999,1903.34,false,0.0
2022-01-01 00:00:00,2023-06-01 00:00:00,17,108,9745.960000000001,188.25,8030.870000000001,1715.09,false,0.0
2022-01-01 00:00:00,2023-07-01 00:00:00,18,108,9745.960000000001,0.0,8030.870000000001,1715.09,false,0.0
2022-01-01 00:00:00,2023-08-01 00:00:00,19,108,9745.960000000001,0.0,8030.870000000001,1715.09,false,0.0
